Company: Barclays PLC (BARC), Announcement: Total Voting Rights, Movement: +2.92%
Company: Pantheon Resources (PANR), Announcement: Publication of Audited Financial Results, Movement: N/A
Company: Paragon Banking Grp (PAG), Announcement: Total Voting Rights, Movement: N/A
Company: Payden Global Funds (IRSH), Announcement: Dividends, Movement: N/A
Company: Paypoint plc (PAY), Announcement: Total voting rights, Movement: N/A
Company: PCI-PAL PLC (PCIP), Announcement: Holding(s) in Company, Movement: N/A
Company: Pearson PLC (PSON), Announcement: Total Voting Rights, Movement: N/A
Company: Peel Hunt LLP, Announcement: Form 8.5 (EPT/RI) - Hansteen Holdings PLC, Movement: N/A
Company: Peel Hunt LLP, Announcement: Form 8.5 (EPT/RI) - Low & Bonar PLC, Movement: N/A
Company: Peel Hunt LLP, Announcement: Form 8.5 (EPT/RI) - Nanoco Group PLC, Movement: N/A
Company: Pentwater Capital Management L, Announcement: Form 8.3 - Allergan Plc, Movement: N/A
Company: Perpetual Inc&Growth (PLI), Announcement: Transaction in Own Shares, Movement: N/A
Company: Perpetual Inc&Growth (PLI), Announcement: Total Voting Rights, Movement: N/A
Company: Pershing Square Hldg (PSH), Announcement: Pershing Square Holdings, Ltd. Announces Transactions in Own Shares, Movement: N/A
Company: Persimmon Plc (PSN), Announcement: Total Voting Rights, Movement: N/A
Company: Personal Assets Tst. (PNL), Announcement: Issue of Equity, Movement: N/A
Company: Personal Assets Tst. (PNL), Announcement: Block listing Interim Review, Movement: N/A
Company: Personal Assets Tst. (PNL), Announcement: Total Voting Rights, Movement: N/A
Company: Personal Group (PGH), Announcement: PDMR purchase of shares, Movement: N/A
Company: Petropavlovsk Plc (POG), Announcement: NOTIFICATION OF MAJOR HOLDINGS, Movement: N/A
Company: Petropavlovsk Plc (POG), Announcement: NOTIFICATION OF MAJOR HOLDINGS, Movement: N/A
Company: Phoenix Global Res (PGR), Announcement: Second Price Monitoring Extn, Movement: N/A
Company: Phoenix Global Res (PGR), Announcement: Price Monitoring Extension, Movement: N/A
Company: Polar Cap Tech Tst (PCT), Announcement: Block listing Interim Review, Movement: N/A
Company: Polar Capital Global (PCFT), Announcement: Block listing Interim Review, Movement: N/A
Company: Polarean Imaging PLC (POLX), Announcement: Director dealing, Movement: N/A
Company: Pollen Street Sec. (PSSL), Announcement: Transaction in Own Shares and Total Voting Rights, Movement: N/A
Company: Premier Foods plc (PFD), Announcement: Total Voting Rights, Movement: N/A
Company: Premier Global Inf (PGIT), Announcement: Statement re Inside Information under MAR, Movement: N/A
Company: Premier Oil PLC (PMO), Announcement: Block listing Interim Review, Movement: N/A
Company: Premier Oil PLC (PMO), Announcement: Total Voting Rights and Warrant Update, Movement: N/A
Company: Primary Health Props (PHP), Announcement: Dividend Declaration, Movement: N/A
Company: Prime People PLC (PRP), Announcement: PDMR Shareholding and Treasury Shares, Movement: N/A
Company: Princess Priv Equity (PEY), Announcement: Compliance with Model Code, Movement: N/A
Company: Princess Priv Equity (PEY), Announcement: Total Voting Rights, Movement: N/A
Company: Prosafe SE, Announcement: Prosafe SE: Update on merger process - Extension of share purchase agreement with Floatel International, Movement: N/A
Company: Proton Motor Power (PPS), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Proven Growth & Inc. (PGOO), Announcement: ProVen Growth and Income VCT plc: Total voting rights, Movement: N/A
Company: Proven VCT plc (PVN), Announcement: ProVen VCT plc: Total voting rights, Movement: N/A
Company: Prudential PLC (PRU), Announcement: Total Voting Rights, Movement: N/A
Company: PureCircle Limited (PURE), Announcement: Block Listing Six Monthly Return, Movement: N/A
Company: PureTech Health PLC (PRTC), Announcement: Total Voting Rights, Movement: N/A
Company: PV Crystalox Solar (PVCS), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Quilter PLC (QLT), Announcement: Completion of Quilter Life Assurance Disposal, Movement: N/A
Company: Rathbone Brothers (RAT), Announcement: Total Voting Rights, Movement: N/A
Company: Raven Property Grp (RAV), Announcement: Total Voting Rights, Movement: N/A
Company: Real Estate Investrs (RLE), Announcement: Holding(s) in Company, Movement: N/A
Company: ReAssure Group PLC (71WW), Announcement: Completion of Quilter UK Heritage book acquisition, Movement: N/A
Company: Reckitt Benckiser Gp (RB.), Announcement: Total Voting Rights, Movement: N/A
Company: Redrow PLC (RDW), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Release, Announcement: Scatec Solar ASA: Long term incentive programme, Movement: N/A
Company: RELX PLC (REL), Announcement: Total Voting Rights, Movement: N/A
Company: RELX PLC (REL), Announcement: Transaction in Own Shares, Movement: N/A
Company: RELX PLC (REL), Announcement: Block listing Interim Review, Movement: N/A
Company: ReNeuron Group plc (RENE), Announcement: Total Voting Rights, Movement: N/A
Company: RIB Software SE, Announcement: Release according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution, Movement: N/A
Company: RIB Software SE, Announcement: Release according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution, Movement: N/A
Company: RIB Software SE, Announcement: Release according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution, Movement: N/A
Company: RIB Software SE, Announcement: Release according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution, Movement: N/A
Company: Rightmove Plc (RMV), Announcement: Total Voting Rights, Movement: N/A
Company: Rightmove Plc (RMV), Announcement: Closed Period share repurchase programme, Movement: N/A
Company: Riksgälden, Announcement: On top issuance of T-Bills, Movement: N/A
Company: Rio Tinto (RIO), Announcement: Total Voting Rights, Movement: N/A
Company: Robeco NV. (0RJE), Announcement: Form 8.3 - Takeaway.com N.V., Movement: N/A
Company: Rotala PLC (ROL), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Rotork PLC (ROR), Announcement: Total Voting Rights, Movement: N/A
Company: Royal Bk Scot.Grp. (RBS), Announcement: Form 8.3 - Accesso Technology Group plc, Movement: N/A
Company: Royal Dutch Shell plc (RDSA), Announcement: Transaction in Own Shares, Movement: N/A
Company: RSA Ins Grp (RSA), Announcement: Total Voting Rights, Movement: N/A
Company: RSA Ins Grp (RSA), Announcement: Block listing Interim Review, Movement: N/A
Company: Ryanair Holdings PLC (RYA), Announcement: Total Voting Rights, Movement: N/A
Company: Ryanair Holdings PLC (RYA), Announcement: Transaction in Own Shares, Movement: N/A
Company: Safe Harbour Hldngs (SHH), Announcement: Holding(s) in Company, Movement: N/A
Company: Safe Harbour Hldngs (SHH), Announcement: Holding(s) in Company, Movement: N/A
Company: Sainsbury(J) PLC (SBRY), Announcement: Total Voting Rights, Movement: N/A
Company: Samson Rock Capital, Announcement: Form 8.3 - Consort Medical PLC Amendment, Movement: N/A
Company: Samson Rock Capital, Announcement: Form 8.3 - Ei Group plc, Movement: N/A
Company: Samson Rock Capital, Announcement: Form 8.3 - Consort Medical PLC, Movement: N/A
Company: San Leon Energy PLC (SLE), Announcement: Transaction in Own Shares, Movement: N/A
Company: Sanderson Asset Mgt, Announcement: Form 8.3 - Cobham plc, Movement: N/A
Company: SATO Oyj, Announcement: SATO to launch construction of Wise Mobility City Block in Helsinki’s Oulunkylä district this year, Movement: N/A
Company: Saudi Arabian Oil Co (64EZ), Announcement: Stabilisation Update, Movement: N/A
Company: Scandinavian Tobacco Group A/S, Announcement: Scandinavian Tobacco Group completes the acquisition of Royal Agio Cigars, Movement: N/A
Company: Scapa Group PLC (SCPA), Announcement: Total Voting Rights, Movement: N/A
Company: Schroder Orientl Inc (SOI), Announcement: Issue of Equity, Movement: N/A
Company: Scot.American Inv. (SAIN), Announcement: Closed Period Confirmation, Movement: N/A
Company: Scot.American Inv. (SAIN), Announcement: Total Voting Rights, Movement: N/A
Company: Scot.Inv.Trust PLC (SCIN), Announcement: Total Assets Value, Movement: N/A
Company: SDL PLC (SDL), Announcement: Block listing Interim Review, Movement: N/A
Company: SDL PLC (SDL), Announcement: Second Price Monitoring Extn, Movement: N/A
Company: SDL PLC (SDL), Announcement: Price Monitoring Extension, Movement: N/A
Company: Secure Trust BankPLC (STB), Announcement: Total Voting Rights, Movement: N/A
Company: Secure Trust BankPLC (STB), Announcement: Block listing Interim Review, Movement: N/A
Company: Securities Tst Scot (STS), Announcement: Total Voting Rights, Movement: N/A
Company: Seneca Glbl Inc&Gwth (SIGT), Announcement: Total Voting Rights, Movement: N/A
Company: Serco Group PLC (SRP), Announcement: Total Voting Rights, Movement: N/A
Company: Serica Energy plc (SQZ), Announcement: Total Voting Rights, Movement: N/A
Company: Severn Trent PLC (SVT), Announcement: OPTIONS AWARDED UNDER THE STPlc SHARESAVE SCHEME, Movement: N/A
Company: Severn Trent PLC (SVT), Announcement: Total Voting Rights, Movement: N/A
Company: Shires Income PLC (SHRS), Announcement: Issue of Equity, Movement: N/A
Company: Shires Income PLC (SHRS), Announcement: Total Voting Rights, Movement: N/A
Company: SigmaRoc PLC (SRC), Announcement: Director and PDMR Dealings, Movement: N/A
Company: Signature Aviation (SIG), Announcement: Block listing Interim Review, Movement: N/A
Company: Silchester Int.Inv., Announcement: Form 8.3 - Cobham plc, Movement: N/A
Company: Sirius Minerals plc (SXX), Announcement: Block Listing Six Monthly Return, Movement: N/A
Company: Sirius Minerals plc (SXX), Announcement: Block Listing Six Monthly Return, Movement: N/A
Company: Sirius Real Estate (SRE), Announcement: Total Voting Rights, Movement: N/A
Company: SLEEPZ AG, Announcement: Correction of a release from 04/02/2019 according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution, Movement: N/A
Company: SLEEPZ AG, Announcement: Correction of a release from 30/05/2018 according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution, Movement: N/A
Company: SME Credit Real Ltd (SCRF), Announcement: Total Voting Rights, Movement: N/A
Company: Smith (DS) PLC (SMDS), Announcement: Total Voting Rights, Movement: N/A
Company: Smith & Nephew Plc (SN.), Announcement: Total Voting Rights, Movement: N/A
Company: Smithson Inv.Trust (SSON), Announcement: Issue of Equity, Movement: N/A
Company: Societe Generale SA, Announcement: Form 8.3 - EI Group, Movement: N/A
Company: Societe Generale SA, Announcement: Form 8.3 - Centamin plc, Movement: N/A
Company: Societe Generale SA, Announcement: Form 8.3 - Cobham plc, Movement: N/A
Company: Societe Generale SA, Announcement: Form 8.3 - Sophos Group plc, Movement: N/A
Company: Softcat PLC (SCT), Announcement: Total Voting Rights, Movement: N/A
Company: Sophos Group Plc (SOPH), Announcement: Holding(s) in Company, Movement: N/A
Company: Sophos Group Plc (SOPH), Announcement: Holding(s) in Company, Movement: N/A
Company: Sophos Group Plc (SOPH), Announcement: Total Voting Rights, Movement: N/A
Company: Sophos Group Plc (SOPH), Announcement: Rule 2.9 Announcement, Movement: N/A
Company: Sound Energy PLC (SOU), Announcement: Update re Tendrara Gas Sales Agreement MOU, Movement: N/A
Company: South32 Limited (S32), Announcement: Total Voting Rights, Movement: N/A
Company: Spectris PLC (SXS), Announcement: Total Voting Rights, Movement: N/A
Company: Spirent Comm PLC (SPT), Announcement: Total Voting Rights, Movement: N/A
Company: SQN Asset Fin Inc Fd (SQN), Announcement: Total Voting Rights, Movement: N/A
Company: SSE Plc (SSE), Announcement: Total Voting Rights, Movement: N/A
Company: SSH Communications Security Co, Announcement: SSH Communications Security Corporation receives a key patent for its PrivX® technology in the United States, Movement: N/A
Company: SSP Group PLC (SSPG), Announcement: Total Voting Rights, Movement: N/A
Company: St. James's Place (STJ), Announcement: Total Voting Rights, Movement: N/A
Company: Stagecoach Group PLC (SGC), Announcement: Total Voting Rights, Movement: N/A
Company: Standard Chrtrd Bank (51OX), Announcement: Repurchase, Movement: N/A
Company: Standard Life Aberdn (SLA), Announcement: Total Voting Rights, Movement: N/A
Company: Star Phoenix Group (STA), Announcement: Drilling rigs sale update, Movement: N/A
Company: State Street Global, Announcement: Form 8.3 - [Takeaway.com N.V.], Movement: N/A
Company: State Street Global, Announcement: Form 8.3 - [Redde plc], Movement: N/A
Company: State Street Global, Announcement: Form 8.3 - [Northgate plc], Movement: N/A
Company: State Street Global, Announcement: Form 8.3 - [Endeavour Mining Corporation], Movement: N/A
Company: State Street Global, Announcement: Form 8.3 - [Ei Group plc], Movement: N/A
Company: State Street Global, Announcement: Form 8.3 - [Cobham plc], Movement: N/A
Company: State Street Global, Announcement: Form 8.3 - [Centamin plc], Movement: N/A
Company: State Street International (Ir, Announcement: Form 8.3 - [Allergan plc], Movement: N/A
Company: State Street International (Ir, Announcement: Form 8.3 - [AbbVie Inc.], Movement: N/A
Company: SThree (STHR), Announcement: Voting Rights and Capital, Movement: N/A
Company: Stock Exch Notice, Announcement: Admission to Trading - 02/01/2020, Movement: N/A
Company: Stock Exch Notice, Announcement: Cancellation - Trader Media East Ld, Movement: N/A
Company: Stock Exch Notice, Announcement: Cancellation - BNP Paribas, Movement: N/A
Company: Syquant Capital, Announcement: Form 8.3 - EIG LN, Movement: N/A
Company: T.Rowe Price Assoc, Announcement: Form 8.3 - [Cobham Plc], Movement: N/A
Company: T.Rowe Price Assoc, Announcement: Form 8.3 - [AbbVie Inc], Movement: N/A
Company: T.Rowe Price Assoc, Announcement: Form 8.3 - [AbbVie Inc], Movement: N/A
Company: Taconic Biosciences, Announcement: Taconic Biosciences Announces New San Diego Location, Movement: N/A
Company: Takeaway.com N.V., Announcement: Rule 2.9 Announcement, Movement: N/A
Company: Takeover Panel, Announcement: Disclosure Table (POTAM only), Movement: N/A
Company: Takeover Panel, Announcement: Disclosure Table (POTAM only), Movement: N/A
Company: Tally Ltd, Announcement: AGM Results, Board Changes and Product Update, Movement: N/A
Company: Tate & Lyle PLC (TATE), Announcement: Block listing Interim Review, Movement: N/A
Company: Tavira Securities, Announcement: Form 8.3 - Bezant Resources PLC Replacement, Movement: N/A
Company: Tavira Securities, Announcement: Form 8.3 - Bezant Resources PLC Replacement, Movement: N/A
Company: Tavira Securities, Announcement: Form 8.3 - Brezant Resources PLC Replacement, Movement: N/A
Company: Tavira Securities, Announcement: Form 8.3 - Bezant Resources PLC Replacement, Movement: N/A
Company: Tavira Securities, Announcement: Form 8.3 - Brezant Resources PLC Replacement, Movement: N/A
Company: Taylor Wimpey PLC (TW.), Announcement: Block listing Interim Review, Movement: N/A
Company: Taylor Wimpey PLC (TW.), Announcement: Block listing Interim Review, Movement: N/A
Company: Taylor Wimpey PLC (TW.), Announcement: Total Voting Rights, Movement: N/A
Company: Team17 Group PLC (TM17), Announcement: Acquisition of Yippee Entertainment Limited, Movement: N/A
Company: TechnipFMC, Announcement: TechnipFMC plc: Total Voting Rights and Share Capital, Movement: N/A
Company: Telecom Plus PLC (TEP), Announcement: Holding(s) in Company, Movement: N/A
Company: Temple Bar Inv.Tst (TMPL), Announcement: Blocklisting - Interim Review, Movement: N/A
Company: Temple Bar Inv.Tst (TMPL), Announcement: Compliance with Market Abuse Regulation, Movement: N/A
Company: Ten Entertainment (TEG), Announcement: Notice of Full-Year Trading Update, Movement: N/A
Company: The Forden Fund Ltd (IRSH), Announcement: Dividend payment, Movement: N/A
Company: The Vanguard Group, Inc., Announcement: Takeaway.com N.V., Movement: N/A
Company: The Vanguard Group, Inc., Announcement: Endeavour Mining Corporation, Movement: N/A
Company: The Vanguard Group, Inc. (CEY), Announcement: Centamin plc, Movement: N/A
Company: The Vanguard Group, Inc. (COB), Announcement: Cobham plc, Movement: N/A
Company: The Vanguard Group, Inc. (EIG), Announcement: Ei Group plc, Movement: N/A
Company: The Vanguard Group, Inc. (IRSH), Announcement: AbbVie plc, Movement: N/A
Company: The Vanguard Group, Inc. (IRSH), Announcement: Allergan plc, Movement: N/A
Company: The Vanguard Group, Inc. (JE.), Announcement: Just Eat plc, Movement: N/A
Company: The Vanguard Group, Inc. (SOPH), Announcement: Sophos Group plc, Movement: N/A
Company: Third Point Offshore (TPOG), Announcement: Total Voting Rights, Movement: N/A
Company: Third Point Offshore (TPOG), Announcement: Third Point December 2019 Performance, Movement: N/A
Company: ThreeKit, Announcement: Survey: Online Shoppers Say It’s Retailers’ Responsibility to Minimize Return Rates Due to Their Negative Impact on Environment, Movement: N/A
Company: Tibra Trading PTY Limited (CTR), Announcement: Charles Taylor PLC, Movement: N/A
Company: Tibra Trading PTY Limited (CTR), Announcement: Charles Taylor PLC, Movement: N/A
Company: Tiziana Life Sci PLC (TILS), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Total Produce Plc (TOT), Announcement: Holding(s) in Company, Movement: N/A
Company: Touchstone Explrtn. (TXP), Announcement: Standard form for notification of major holdings, Movement: N/A
Company: Tracsis PLC (TRCS), Announcement: Total Voting Rights, Movement: N/A
Company: TrainerWorthamCBOIV (IRSH), Announcement: Trainer Wortham IV Notice of Upcoming Auction, Movement: N/A
Company: Travis Perkins (TPK), Announcement: Director/PDMR Shareholding, Movement: N/A
Company: Travis Perkins (TPK), Announcement: Total Voting Rights, Movement: N/A
Company: Troy Inc & Gwth Plc (TIGT), Announcement: Issue of Equity, Movement: N/A
Company: Troy Inc & Gwth Plc (TIGT), Announcement: Total Voting Rights, Movement: N/A
Company: TT Electronics PLC (TTG), Announcement: Total Voting Rights, Movement: N/A
Company: Tungsten Corp PLC (TUNG), Announcement: Second Price Monitoring Extn, Movement: N/A
Company: Tungsten Corp PLC (TUNG), Announcement: Price Monitoring Extension, Movement: N/A
Company: UBS AG (EPT), Announcement: Form 8.5 (EPT/RI) - Takeaway.com NV Replacement, Movement: N/A
Company: UBS AG (EPT), Announcement: Form 8.5 (EPT/RI) - Takeaway.com NV Replacement, Movement: N/A
Company: UBS AG (EPT), Announcement: Form 8.5 (EPT/RI) - Just Eat plc Replacement, Movement: N/A
Company: UBS AG (EPT), Announcement: Form 8.5 (EPT/RI) - Sophos Group plc Replacement, Movement: N/A
Company: UBS AG (EPT), Announcement: Form 8.5 (EPT/RI) - Just Eat plc, Movement: N/A
Company: UBS AG (EPT), Announcement: Form 8.5 (EPT/RI) - Takeaway.com NV, Movement: N/A
Company: UBS AG (EPT), Announcement: Form 8.5 (EPT/RI) - Sophos Group plc, Movement: N/A
Company: UDG Healthcare Plc (UDG), Announcement: Total Voting Rights, Movement: N/A
Company: UIL Limited (UTL), Announcement: Total Voting Rights, Movement: N/A
Company: UK Oil & Gas PLC (UKOG), Announcement: Issue of Shares, Movement: N/A
Company: Unicorn AIM VCT PLC (UAV), Announcement: Total Voting Rights, Movement: N/A
Company: Urban Exposure plc (UEX), Announcement: Related Party Transaction, Movement: N/A
Company: Urban Logistics REIT (SHED), Announcement: Holding(s) in Company, Movement: N/A
Company: US Solar Fund PLC (USF), Announcement: Third Acquisition Update, Movement: N/A
Company: US Solar Fund PLC (USF), Announcement: Total Voting Rights, Movement: N/A
Company: Utilico Emerging Mkt (UEM), Announcement: Director/PDMR Shareholding - Hansen, Movement: N/A
Company: Utilico Emerging Mkt (UEM), Announcement: Director/PDMR Shareholding - Muh, Movement: N/A
Company: Utilico Emerging Mkt (UEM), Announcement: Director/PDMR Shareholding - Milne, Movement: N/A
Company: Vaalco Energy Inc (EGY), Announcement: PDMR Share Dealing, Movement: N/A
Company: Van Eck (0YYC), Announcement: Form 8.3 - Endeavour Mining Corp., Movement: N/A
Company: Van Eck (CEY), Announcement: Form 8.3 - Centamin PLC, Movement: N/A
Company: Vast Resources plc (VAST), Announcement: Exercise of Warrants and Issue of Equity, Movement: N/A
Company: Vast Resources plc (VAST), Announcement: Funding Update, Movement: N/A
Company: Vectura Group plc (VEC), Announcement: Voting Rights and Capital, Movement: N/A
Company: VietNam Holding Ltd (VNH), Announcement: Total Voting Rights, Movement: N/A
Company: Virgin Money UK PLC (VMUK), Announcement: Total Voting Rights, Movement: N/A
Company: VIS Finance SA (IRSH), Announcement: Extension to Maturity Date Series 2017-15, Movement: N/A
Company: Vitec Group PLC(The) (VTC), Announcement: Total Voting Rights, Movement: N/A
Company: Vodafone Group Plc (VOD), Announcement: Total Voting Rights, Movement: N/A
Company: VPC Specialty (VSL), Announcement: Total Voting Rights, Movement: N/A
Company: VPC Specialty (VSL), Announcement: Transaction in Own Shares, Movement: N/A
Company: W.H. Ireland Group (WHI), Announcement: Holding(s) in Company, Movement: N/A
Company: WANdisco Plc (WAND), Announcement: Total Voting Rights, Movement: N/A
Company: Warehouse REIT PLC (WHR), Announcement: Holding(s) in Company, Movement: N/A
Company: Wellington Mngmnt Gp, Announcement: Form 8.3 - Consort Medical plc, Movement: N/A
Company: Wells Fargo & Co (17ZG), Announcement: Doc re. Form 8-K, Movement: N/A
Company: Whitbread PLC (WTB), Announcement: Total Voting Rights, Movement: N/A
Company: William Hill PLC (WMH), Announcement: Total Voting Rights, Movement: N/A
Company: Wilmington PLC (WIL), Announcement: Total Voting Rights, Movement: N/A
Company: WisdomTree Comm Sec (AIGA), Announcement: Issue of WisdomTree Commodity Securities Limited, Movement: N/A
Company: WisdomTree Frgn Exch, Announcement: Issue of WisdomTree Foreign Exchange Limited, Movement: N/A
Company: WisdomTree Hdg Cm Se, Announcement: Issue of WisdomTree Hedged Commodity Secs Limited, Movement: N/A
Company: Witan Inv Tst PLC (WTAN), Announcement: Total Voting Rights, Movement: N/A
Company: Witan Pacific InvTst (WPC), Announcement: Total Voting Rights, Movement: N/A
Company: Witan Pacific InvTst (WPC), Announcement: Transaction in Own Shares, Movement: N/A
Company: Worldwide Healthcare (WWH), Announcement: Total Voting Rights, Movement: N/A
Company: WPP PLC (WPP), Announcement: Transaction in Own Shares, Movement: N/A
Company: Xaar PLC (XAR), Announcement: Total Voting Rights, Movement: N/A
Company: XLMedia PLC (XLM), Announcement: Director Share Purchase, Movement: N/A
Company: YouGov PLC (YOU), Announcement: Total Voting Rights, Movement: N/A
Company: ZCCM Invs.Hldgs PLC (ZCC), Announcement: JOINT VENTURE PARTNERSHIP- GOLD MINING, Movement: N/A
Company: Zenith Energy Ltd (ZEN), Announcement: Preparing for operations in West Africa, Movement: N/A
